Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound Annotation,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Compound2032,6.431116935,6.50949253,6.493063441,6.013587068,6.362181236,6.451614404,6.400460819,6.381758481,6.277081642,6.335611021,6.157869864,6.392201506,6.337677365,6.378484391,6.504354308,6.400708363,6.371860992,6.52990928,6.409119243,6.454065661,6.227253549,6.324834859,6.507004811,6.621141469,6.391391588,6.417526991,6.467748066
Compound4137,6.41751243,6.399318621,6.374472788,6.451286056,6.476595571,6.27962307,6.424526983,6.257886994,6.375960317,6.354983915,6.484350892,6.259672978,6.314281967,6.380736757,6.460196008,6.245487851,6.391255732,6.327131164,6.320324455,6.503254395,6.230567981,6.285149334,6.40375907,6.249823181,6.443721926,6.494955467,6.343520368
Compound61,7.872194658,8.161215991,7.485495099,8.149099713,7.032338636,7.682198001,8.976983389,8.204658614,8.322102299,8.365871143,8.005724792,8.032958488,8.479739931,8.069771236,8.107254394,8.505911237,8.102036284,8.158738402,7.659436795,7.88459545,7.609151741,8.082570924,8.463213099,8.956719978,8.107086501,8.16937016,7.90346379
Compound1854,7.131462973,7.061610637,6.804216736,6.871522341,6.860580925,6.728661436,6.927661449,7.004759472,6.911119159,7.04440379,7.060668907,7.108235591,6.968457213,7.11627306,7.14622294,7.005796747,7.065559427,6.828040746,7.133555968,6.965399641,7.021092094,6.979670853,6.961147315,7.085640345,7.08624562,6.937983102,7.019432347
Compound2608,7.159277534,6.875666811,7.253232026,7.051520627,7.197949967,7.102376396,7.130156042,7.007859254,7.07045534,7.189730485,6.855316762,7.050595097,7.086652118,7.025858673,6.920915357,6.984817494,6.888677095,6.951312265,7.030122085,7.05562743,7.192170614,7.032778822,7.08331778,6.925267909,7.195086518,7.084349829,7.058028899
Compound1489,7.39046058,7.044633398,7.150928406,6.968045946,7.137967972,7.348579856,7.216370178,7.166789163,7.190893573,7.215156034,7.347314027,7.235945237,7.245511591,7.281120216,7.283533801,6.837502367,7.375137086,7.067088134,7.291068231,7.257854295,6.974698826,7.243196139,7.255841954,7.369377233,7.339437473,7.059711427,7.281097421
Compound2625,7.018260805,6.918832887,6.769491444,6.846438062,6.830801275,6.86296829,6.816201775,6.678821984,6.873750207,6.94610986,6.769948928,6.855944817,6.865828023,6.987908572,6.701882393,6.885129029,6.633081699,6.869067477,6.711049588,6.97171765,7.015381385,6.640390127,6.776600967,6.749638826,6.878879014,6.834137651,6.677199972
Compound2480,7.128085501,7.049727579,6.869999184,7.132993509,7.087221954,7.144381995,7.249517192,6.811590823,7.006326129,6.988254424,7.173079716,7.116008689,7.287784144,7.148139874,7.143764252,7.121119064,6.693778141,7.085914922,7.189165099,7.125820226,7.243502386,7.134435763,7.047349423,7.136654682,7.011362538,6.782223765,7.138235216
Compound1936,6.819012597,6.819288107,6.902363307,6.333879452,6.934843368,6.767815679,7.141826965,7.037161508,6.947323557,6.625654604,6.983956624,6.785184751,6.813731172,6.678171076,7.223485385,7.129399903,7.153494751,6.965611146,6.947517141,6.520889381,6.42242508,6.991177176,7.235319998,6.620138539,6.945089827,7.227389007,6.789091322
Compound2109,6.965032663,7.448390323,7.312125157,6.936899284,7.133262279,7.5017992,7.153633925,7.41411724,7.299277453,7.252862893,7.343945575,6.881823283,7.18451217,7.167880706,7.204181593,7.273172312,7.08787551,7.198690424,7.291690704,6.95818609,7.456850128,7.367273105,7.273425282,6.967170648,7.222575493,6.469343906,7.145818046
Compound2632,6.991893192,7.10428413,7.00196046,7.188652532,6.912745506,6.848806415,7.032075783,7.04394689,7.050290458,6.986944761,7.273452362,6.952354542,7.191550207,6.991742695,6.975965607,7.025656836,7.076580032,7.10845942,6.990779415,7.174001992,7.24522719,6.998084094,7.033339582,7.022824461,6.76631534,6.717193116,7.079975036
Compound2823,6.772812145,6.717885557,6.801802979,6.763627749,6.91170818,6.737637968,6.671410366,6.757354374,6.805035197,6.729026551,6.716122468,6.555987107,6.680827102,6.71940081,6.772401869,6.718864323,6.734497314,6.989240225,6.792134075,6.602505518,6.756137021,6.7567483,6.839893937,6.587652547,6.811340837,6.72160227,6.777925277
Compound2911,6.827225399,7.034843835,6.801051158,6.919331414,6.582004725,6.732362344,6.871236281,6.712842737,6.870541462,6.876844478,6.849820112,7.041228457,6.81448162,6.836541412,6.858570426,6.92696036,6.736414074,6.885460272,6.974478718,6.861339145,6.741670364,6.724341226,6.895468116,6.411817148,6.813659935,6.922122977,6.590663261
Compound743,7.415442731,7.340563016,7.419938189,7.188911585,7.005899575,6.826744411,7.61705113,7.20018903,7.194558165,7.49878656,7.205672719,7.20108176,7.419471612,7.128471596,7.285613472,7.221346783,7.253335649,7.772331371,7.39085008,7.089460136,7.178271883,7.073747122,7.195714562,7.218686584,7.366012073,7.183262987,6.852767237
